2026-07-25 06:26:31,692 | INFO     | app.core.lifespan | ============================================================
2026-07-25 06:26:31,693 | INFO     | app.core.lifespan | Starting OpportunityOS...
2026-07-25 06:26:31,693 | INFO     | app.core.lifespan | Initializing application...
2026-07-25 06:26:31,693 | INFO     | app.core.lifespan | ============================================================
2026-07-25 06:26:31,693 | INFO     | app.providers.live_providers | Registered 4 live opportunity providers
2026-07-25 06:26:31,699 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-25 06:26:31,701 | INFO     | apscheduler.scheduler | Added job "_run_notification_sweep" to job store "default"
2026-07-25 06:26:31,701 | INFO     | apscheduler.scheduler | Scheduler started
2026-07-25 06:26:31,701 | INFO     | app.services.notification_scheduler | Notification scheduler started (interval=6h)
2026-07-25 06:33:14,550 | INFO     | app.core.lifespan | ============================================================
2026-07-25 06:33:14,550 | INFO     | app.core.lifespan | Starting OpportunityOS...
2026-07-25 06:33:14,550 | INFO     | app.core.lifespan | Initializing application...
2026-07-25 06:33:14,550 | INFO     | app.core.lifespan | ============================================================
2026-07-25 06:33:14,550 | INFO     | app.providers.live_providers | Registered 4 live opportunity providers
2026-07-25 06:33:14,553 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-25 06:33:14,554 | INFO     | apscheduler.scheduler | Added job "_run_notification_sweep" to job store "default"
2026-07-25 06:33:14,554 | INFO     | apscheduler.scheduler | Scheduler started
2026-07-25 06:33:14,555 | INFO     | app.services.notification_scheduler | Notification scheduler started (interval=6h)
2026-07-25 06:37:38,795 | INFO     | opportunityos | [0d40e82a] GET /
2026-07-25 06:37:38,797 | INFO     | opportunityos | [0d40e82a] GET / -> 200 (1.51 ms)
2026-07-25 06:37:39,014 | INFO     | opportunityos | [c5a6c4cc] GET /favicon.ico
2026-07-25 06:37:39,016 | INFO     | opportunityos | [c5a6c4cc] GET /favicon.ico -> 404 (1.76 ms)
2026-07-25 06:37:46,929 | INFO     | opportunityos | [a1f0bc89] GET /docs
2026-07-25 06:37:46,929 | INFO     | opportunityos | [a1f0bc89] GET /docs -> 200 (0.72 ms)
2026-07-25 06:37:47,000 | INFO     | opportunityos | [4c2336fd] GET /openapi.json
2026-07-25 06:37:47,029 | INFO     | opportunityos | [4c2336fd] GET /openapi.json -> 200 (29.90 ms)
2026-07-25 06:47:20,860 | INFO     | opportunityos | [f0c1720c] GET /api/jobs
2026-07-25 06:47:23,073 | INFO     | httpx | HTTP Request: GET https://www.arbeitnow.com/api/job-board-api "HTTP/1.1 200 OK"
2026-07-25 06:47:23,086 | INFO     | httpx | HTTP Request: GET https://remotive.com/api/remote-jobs?search=Software%20Engineer "HTTP/1.1 200 OK"
2026-07-25 06:47:23,896 | INFO     | httpx | HTTP Request: GET https://remoteok.com/api "HTTP/1.1 200 OK"
2026-07-25 06:47:28,054 | INFO     | httpx | HTTP Request: GET https://jsearch.p.rapidapi.com/search-v2?query=Software+Engineer+Chennai%2C+India&page=1&num_pages=1&country=in&date_posted=all "HTTP/1.1 200 OK"
2026-07-25 06:47:28,057 | WARNING  | app.providers.base | [JSearch] fetch failed: 'str' object has no attribute 'get'
2026-07-25 06:47:28,067 | INFO     | opportunityos | [f0c1720c] GET /api/jobs -> 200 (7206.86 ms)
2026-07-25 06:48:05,574 | INFO     | opportunityos | [ad3a0d46] GET /api/jobs
2026-07-25 06:48:07,314 | INFO     | httpx | HTTP Request: GET https://remotive.com/api/remote-jobs?search=Software%20Engineer "HTTP/1.1 200 OK"
2026-07-25 06:48:07,315 | INFO     | httpx | HTTP Request: GET https://www.arbeitnow.com/api/job-board-api "HTTP/1.1 200 OK"
2026-07-25 06:48:08,031 | INFO     | httpx | HTTP Request: GET https://remoteok.com/api "HTTP/1.1 200 OK"
2026-07-25 06:48:12,640 | INFO     | httpx | HTTP Request: GET https://jsearch.p.rapidapi.com/search-v2?query=Software+Engineer+Chennai%2C+India&page=1&num_pages=1&country=in&date_posted=all "HTTP/1.1 200 OK"
2026-07-25 06:48:12,643 | WARNING  | app.providers.base | [JSearch] fetch failed: 'str' object has no attribute 'get'
2026-07-25 06:48:12,650 | INFO     | opportunityos | [ad3a0d46] GET /api/jobs -> 200 (7076.04 ms)
2026-07-25 10:15:32,801 | INFO     | app.core.lifespan | ============================================================
2026-07-25 10:15:32,801 | INFO     | app.core.lifespan | Starting OpportunityOS...
2026-07-25 10:15:32,801 | INFO     | app.core.lifespan | Initializing application...
2026-07-25 10:15:32,801 | INFO     | app.core.lifespan | ============================================================
2026-07-25 10:15:32,801 | INFO     | app.providers.live_providers | Registered 4 live opportunity providers
2026-07-25 10:15:32,803 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-25 10:15:32,817 | INFO     | apscheduler.scheduler | Added job "_run_notification_sweep" to job store "default"
2026-07-25 10:15:32,817 | INFO     | apscheduler.scheduler | Scheduler started
2026-07-25 10:15:32,817 | INFO     | app.services.notification_scheduler | Notification scheduler started (interval=6h)
2026-07-25 10:17:40,888 | INFO     | opportunityos | [3e9f5cd0] GET /api/jobs
2026-07-25 10:17:42,637 | INFO     | httpx | HTTP Request: GET https://remotive.com/api/remote-jobs?search=Software%20Engineer "HTTP/1.1 200 OK"
